company_name,valuation_billion,country
ByteDance,220.0,China
Ant Group,150.0,China
SpaceX,125.0,United States
Reliance Retail,100.0,India
OpenAI,80.0,United States
Shein,66.0,China
Stripe,65.0,United States
Reliance Jio,58.0,India
Revolut,45.0,United Kingdom
Databricks,43.0,United States
Checkout.com,40.0,United Kingdom
JUUL,38.0,United States
Fanatics,31.0,United States
Cruise,30.0,United States
Waymo,30.0,United States
Alibaba Bendi Shenghuo Fuwu Gongsi,30.0,China
Canva,26.0,Australia
Chime,25.0,United States
xAI,24.0,United States
Epic Games,23.0,United States
